OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CT2020_AQL_Use_USE_NAME,CT2020_REC_Use_USE_NAME,CT2020_FSHCON_Use_USE_NAME,CT2020_SHLFSH_Use_USE_NAME,Impaired,CT2020_AQL_Use_ATTAINMENT,CT2020_REC_Use_ATTAINMENT,CT2020_FSHCON_Use_ATTAINMENT,CT2020_SHLFSH_Use_ATTAINMENT,Shape__Area,Shape__Length
163,2020,CT-C3_011,LIS CB Midshore - East Haven,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven and Branford Harbors out to 50 ft contour, East Haven.",ESTUARY,8.152,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,227275019.494812,102225.020796068
164,2020,CT-C3_006,"LIS CB Midshore - Outer Guilford Harbor, Guilford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Guilford Harbor), out to 50 ft contour, Guilford.",ESTUARY,8.364,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,233185039.502319,71762.5629232049
165,2020,CT-C3_005,LIS CB Midshore - Madison,"See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Hogshead Point), out to 50 ft contour, Madison.",ESTUARY,8.348,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,232716733.104675,68312.6893275045
166,2020,CT-C3_020,"LIS CB Midshore - Milford Point, Milford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (SA water surrounding SB water, outer mouth of Housatonic River), out to 50 ft contour, Milford.",ESTUARY,10.663,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,297277705.796234,86565.9644430666
167,2020,CT-C3_017,LIS CB Midshore - Milford,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, Milford.",ESTUARY,8.095,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,225669935.931519,63748.8134522544
168,2020,CT-E3_007,"LIS EB Midshore - East Lyme, Rocky Neck","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Hatchett Point to Black Point, East Lyme, out to 50 ft contour (offshore of mouths of Fourmile and Pattagasett Rivers).",ESTUARY,2.93,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,81687630.5783691,53108.9529703063
169,2020,CT-C3_019-I,"LIS CB Midshore - Outer Silver Sand Beach, Milford","See Map for Boundaries.  Central portion of LIS from SA/SB water quality line along beach, out to Island (THE GULF SA water inside of Island at Silver Sands State Park Beach), Milford.",ESTUARY,0.573,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,15972018.4315186,17949.3805112461
170,2020,CT-C3_018,"LIS CB Midshore - Fort Trumbull, Milford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Silver Sands State Park area, water beyond Island), out to 50 ft contour, Milford.",ESTUARY,11.311,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Fully Supporting,315335913.110352,79956.74412669
171,2020,CT-E3_005-SB,"LIS EB Midshore - Waterford, Thames River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary, approximately 1000 ft offshore of Magonk Point, Waterford to BushyPoint, Groton, out to SB/SA water quality boundary (Thames River mouth).",ESTUARY,5.256,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Fully Supporting,146533706.575989,76086.9683476362
172,2020,CT-C3_015-SB,"LIS CB Midshore - New Haven Harbor, New Haven","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (West Shore to Morgan Point), from Sandy Point out to segments CT-C3_013/014, outer New Haven Harbor, West Haven/New Haven.",ESTUARY,4.561,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Fully Supporting,127144098.593689,58465.9078673902
173,2020,CT-W3_014,"LIS WB Midshore - Outer Captain Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from Connecticut New York state line just beyond Great Captain Island to east of Wee Captain Island, out to 50 ft contour, Greenwich.",ESTUARY,2.007,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Fully Supporting,55938224.12854,31574.7271153362
174,2020,CT-E1_014-SB,"LIS EB Inner - Thames River (Mouth), New London","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, mouth of Thames River from Eastern Point (North of Avery Point), US to I95 crossing (Includes Inner New London Harbor), Groton.",ESTUARY,1.994,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,55590146.2490234,77299.9908392665
175,2020,CT-E1_031-SB,"LIS EB Inner - Connecticut River (upper), Chester","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from area just above Brockway Island, US to saltwater limit just above Chapman Pond inlet (adjacent to Gillette Castle State Park), East Haddam.",ESTUARY,2.13,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Use Not Viable,Yes,Not Assessed,Not Assessed,Not Supporting,Not Evaluated,59371835.9418945,199013.731953061
176,2020,CT-W3_007,"LIS WB Midshore - Offshore Norwalk Islands,Norwalk","See Map for Boundaries.  Western portion of LIS from line just beyond cluster of Norwalk Islands (Sheffield Island to Cockenoe Island area), out to 50 ft contour, Norwalk.",ESTUARY,5.663,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Fully Supporting,157887389.461212,72857.8609507924
177,2020,CT-C2_010,"LIS CB Shore - Joshua Cove & Island Bay, Guilford","See Map for Boundaries.  Central portion of LIS from Clark Point to Sachem Head area (includes Horse and Foskett Islands), out approximately 1000 ft offshore, Guilford.",ESTUARY,0.738,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,20560688.906189,46255.5490125715
178,2020,CT-W2_012,"LIS WB Shore - Outer Norwalk Harbor(East), Norwalk","See Map for Boundaries.  Western portion of LIS from midpoint of outer Norwalk Harbor to just west of Canfield Island area (includes Calf Pasture Beach, Shady Beach, Calf Pasture Point) out approximately 1000 ft offshore, Norwalk.",ESTUARY,0.258,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,7185558.58465576,16017.9391514844
179,2020,CT-W2_006,"LIS WB Shore - Southport Harbor (East), Fairfield","See Map for Boundaries.  Western portion of LIS from inner Southport Harbor outlet to Pine Creek Point area (includes Sasco Beach, Kense Point) out approximately 1000 ft offshore, Fairfield.",ESTUARY,0.183,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,5101178.27444458,12244.980140814
180,2020,CT-W2_009,"LIS WB Shore - Compo Cove, SISP, Westport","See Map for Boundaries.  Western portion of LIS from Compo Cove to Burying Hill Road area (includes Sherwood Island State Park Beach, Sherwood Point, Sherwood Millpond outlet, Greens Farms Brook outlet) out approximately 1000 ft offshore, Westport.",ESTUARY,0.324,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,9031116.49472046,19624.6261910146
181,2020,CT-W2_018,"LIS WB Shore - Westcott Cove, Stamford","See Map for Boundaries.  Western portion of LIS from near intersection of Hobson Street and Sea Beach Drive to Greenway Island area of outer Cove Harbor (includes West Beach, Cummings Beach, Vincent Island) out approximately 1000 ft offshore, Stamford.",ESTUARY,0.366,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,10212232.6799927,30453.3335210629
182,2020,CT-E2_017,"LIS EB Shore - Rocky Neck (Fourmile Rvr), Old Lyme","See Map for Boundaries.  Eastern portion of LIS from Hatchett Point to Seal Rock (Great Neck) Includes Rocky Neck State Park Beach, out approximately 1000 ft offshore.",ESTUARY,0.531,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,14794070.7507324,31440.7690128098
183,2020,CT-E2_016,"LIS EB Shore - Pattagansett River Mouth, East Lyme","See Map for Boundaries.  Eastern portion of LIS from Seal Rock (Great Neck) to Point East of Griswald Island (entire mouth of Pattagansett River, including area around Watts Island), out approximately 1000 ft offshore.",ESTUARY,0.322,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,8984828.84332275,45121.3071412189
184,2020,CT-E3_006,LIS EB Midshore - Niantic Bay,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Black Point, East Lyme to Magonk Point (SB/SA water quality boundary) Waterford, out to 50 ft contour (Niantic Bay).",ESTUARY,6.179,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,172264535.748108,93975.6910231106
185,2020,CT-C1_022,"LIS CB Inner - West River (Upper), West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from SA/SB water quality line at Route 1 crossing, US past Route 34 crossing to southside of Edgewood Avenue (near Edgewood Park Pond), West Haven.",ESTUARY,0.063,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,1745288.91033936,29827.1772992521
188,2020,CT-C4_005,LIS CB Offshore - Milford,See Map for Boundaries.  Central portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,24.248,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Offshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Use Not Viable,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,675982496.327332,119197.018145473
189,2020,CT-C4_004,LIS CB Offshore - West Haven,See Map for Boundaries.  Central portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,34.332,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Offshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Use Not Viable,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,957129656.186462,140024.546744534
190,2020,CT-E2_010-SB,"LIS EB Shore - Thames Rvr Mouth (West), New London","See Map for Boundaries.  Eastern portion of LIS from mouth of Alewife Cove to Quinnipeag Rocks along western shore of Thames River mouth, out approximately 1000 ft offshore (SB Water Quality).",ESTUARY,0.299,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,8331928.82788086,21168.5586188872
191,2020,CT-E2_011-SB,"LIS EB Shore - Thames Rvr Mouth (West), Waterford","See Map for Boundaries.  Eastern portion of LIS from Magonk Point to mouth of Alewife Cove, out approximately 1000 ft offshore (SB Water Quality).",ESTUARY,0.486,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Fully Supporting,13550986.3291626,29902.0785072294
192,2020,CT-C1_014-SB,"LIS CB Inner - Quinnipiac River (mouth), New Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at I95 crossing, US Quinnipiac River to Sackett Point Road (includes Mill River mouth BELOW Chapel Street crossing), North Haven.",ESTUARY,0.626,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Assessed,17449996.557251,102937.095714488
193,2020,CT-W4_005,LIS WB Offshore - Greenwich,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,11.753,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Offshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Use Not Viable,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,327665922.222748,84184.6248275376
194,2020,CT-W4_004,LIS WB Offshore - Darien,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,16.767,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Offshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Use Not Viable,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,467427831.506073,90155.7593096468
195,2020,CT-W4_003,LIS WB Offshore - Norwalk,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,15.06,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Offshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Use Not Viable,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,419842698.091675,101854.417648844
196,2020,CT-W4_002,LIS WB Offshore - Fairfield,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,26.403,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Offshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Use Not Viable,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,736072765.605225,114464.039438385
197,2020,CT-W2_008,"LIS WB Shore - Green Farms, Westport","See Map for Boundaries.  Western portion of LIS from Burying Hill Road to Beachside Lane area (includes Burying Hill Beach, Frost Point) out approximately 1000 ft offshore, Westport.",ESTUARY,0.237,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,6593467.73590088,15197.4134739193
198,2020,CT-W3_015-I,"LIS WB Midshore - Captain Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Byrant Point at Connecticut/New York state line, to Brush Island, Captain Harbor area), out to just beyond Great Captain Island to Wee Captain Island, Greenwich.",ESTUARY,3.422,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,95395226.5903015,69674.4477115553
199,2020,CT-W2_021,"LIS WB Shore - Greenwich Cove, Greenwich","See Map for Boundaries.  Western portion of LIS from Todd Point to Greenwich Point (includes Elias Point, Greenwich Island, Pelican Island, Flat Neck Point, Greenwich Cove) out approximately 1000 ft offshore, Greenwich.",ESTUARY,1.244,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,34669931.7423096,90586.798712189
200,2020,CT-W4_001,LIS WB Offshore - Bridgeport,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,19.767,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Offshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Use Not Viable,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,551076187.852539,102427.967850485
203,2020,CT-C1_006,"LIS CB Inner - East and Neck Rivers, Guilford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth of East River at outlet into Guilford Harbor, US to saltwater limit at Planter Pond outlet (includes Neck River from mouth to above River Edge Farms Road, Guilford.",ESTUARY,0.151,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,4197796.13104248,89946.8589312529
204,2020,CT-C1_023-SB,"LIS CB Inner - Mill River (mouth), New Haven/Hamden","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at confluence with Quinnipiac River (Chapel Street crossing), New Haven, US to Footbridge crossing (just US of East Rock Road crossing), Hamden.",ESTUARY,0.068,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,1903430.77600098,31263.3745932084
205,2020,CT-E1_033,"LIS EB Inner - Pequotsepos Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Pequotsepos Cove. From outlet into Mystic Harbor at RR crossing to inlet of Pequotsepos Brook, Stonington.",ESTUARY,0.024,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,664940.094055176,10040.5003647422
206,2020,CT-E3_001,LIS EB Midshore - Stonington,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore (Little Narragansett Bay), out to CT/NY State line.",ESTUARY,0.585,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,16306493.5958862,20298.6332629908
207,2020,CT-E2_001,"LIS EB Shore - Wequetequock Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS from RR crossing on east side of Wequetequock cove to mouth of Pawcatuck River, out approximately 1000 ft offshore (Little Narragansett Bay).",ESTUARY,0.619,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,17264977.8427734,59702.8831910893
209,2020,CT-W3_010,"LIS WB Midshore - Outer Cove Harbor, Darien","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (off of Long neck Point, outer Cove Harbor, Darien Cove, Scott Cove area), out to 50 ft contour, Darien.",ESTUARY,2.113,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,58903269.4931335,38700.8838749336
210,2020,CT-W2_014,"LIS WB Shore - Wilson Cove, Farm Creek, Norwalk","See Map for Boundaries.  Western portion of LIS from Norton Point to just west of Hoyt Island (includes Rowayton Beach, Bell Island, Wilson Point) out approximately 1000 ft offshore, Norwalk.",ESTUARY,0.424,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Insufficient Information,Fully Supporting,Insufficient Information,Not Supporting,11825047.3697205,35997.9662772516
