OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CLASS_ID,CLASS_NAME,MILES_SQUARE,AQUATIC_LIFE_ATTAINMENT_CODE,AQUATIC_LIFE_ATTAINMENT,RECREATION_ATTAINMENT_CODE,RECREATION_ATTAINMENT,FISH_CONSUMPTN_ATTAINMENT_CODE,FISH_CONSUMPTION_ATTAINMENT,SHELLFISH_USE_DESCRIPTION,SHELLFISH_ATTAINMENT_CODE,SHELLFISH_ATTAINMENT,IMPAIRED,Shape__Area,Shape__Length
195,2016,CT-C1_022,"LIS CB Inner - West River (Upper), West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from SA/SB water quality line at Route 1 crossing, US past Route 34 crossing to southside of Edgewood Avenue (near Edgewood Park Pond), West Haven.",0.063,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,0.063,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,1745288.90936279,29827.1772992499
198,2016,CT-C4_005,LIS CB Offshore - Milford,See Map for Boundaries.  Central portion of LIS from 50ft contour to CT/NY State line.,24.248,SQUARE MILES,ESTUARY,Central,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,24.248,N,Not Supporting,X,Unassessed,F,Fully Supporting,Not Evaluated,,Natural Conditions Not Viable,Yes,675982496.327271,119197.018145481
199,2016,CT-C4_004,LIS CB Offshore - West Haven,See Map for Boundaries.  Central portion of LIS from 50ft contour to CT/NY State line.,34.332,SQUARE MILES,ESTUARY,Central,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,34.332,N,Not Supporting,X,Unassessed,F,Fully Supporting,Not Evaluated,,Natural Conditions Not Viable,Yes,957129656.185486,140024.546744541
200,2016,CT-E2_010-SB,"LIS EB Shore - Thames Rvr Mouth (West), New London","See Map for Boundaries.  Eastern portion of LIS from mouth of Alewife Cove to Quinnipeag Rocks along western shore of Thames River mouth, out approximately 1000 ft offshore (SB Water Quality).",0.299,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,0.299,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,8331928.82775879,21168.5586188729
201,2016,CT-E2_011-SB,"LIS EB Shore - Thames Rvr Mouth (West), Waterford","See Map for Boundaries.  Eastern portion of LIS from Magonk Point to mouth of Alewife Cove, out approximately 1000 ft offshore (SB Water Quality).",0.486,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,0.486,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,13550986.3293457,29902.0785072296
202,2016,CT-C1_014-SB,"LIS CB Inner - Quinnipiac River (mouth), New Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at I95 crossing, US Quinnipiac River to Sackett Point Road (includes Mill River mouth BELOW Chapel Street crossing), North Haven.",0.626,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.626,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,X,Unassessed,Yes,17449996.5580444,102937.095714318
203,2016,CT-W4_005,LIS WB Offshore - Greenwich,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,11.753,SQUARE MILES,ESTUARY,Western,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,11.753,N,Not Supporting,X,Unassessed,F,Fully Supporting,Not Evaluated,,Natural Conditions Not Viable,Yes,327665922.22287,84184.6248275554
204,2016,CT-W4_004,LIS WB Offshore - Darien,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,16.767,SQUARE MILES,ESTUARY,Western,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,16.767,N,Not Supporting,X,Unassessed,F,Fully Supporting,Not Evaluated,,Natural Conditions Not Viable,Yes,467427831.506134,90155.7593096173
205,2016,CT-W4_003,LIS WB Offshore - Norwalk,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,15.06,SQUARE MILES,ESTUARY,Western,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,15.06,N,Not Supporting,X,Unassessed,F,Fully Supporting,Not Evaluated,,Natural Conditions Not Viable,Yes,419842698.091705,101854.417648832
206,2016,CT-W4_002,LIS WB Offshore - Fairfield,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,26.403,SQUARE MILES,ESTUARY,Western,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,26.403,N,Not Supporting,X,Unassessed,F,Fully Supporting,Not Evaluated,,Natural Conditions Not Viable,Yes,736072765.605438,114464.039438437
209,2016,CT-C1_006,"LIS CB Inner - East and Neck Rivers, Guilford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth of East River at outlet into Guilford Harbor, US to saltwater limit at Planter Pond outlet (includes Neck River from mouth to above River Edge Farms Road, Guilford.",0.151,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.151,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,4197796.13067627,89946.8589315579
210,2016,CT-C1_023-SB,"LIS CB Inner - Mill River (mouth), New Haven/Hamden","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at confluence with Quinnipiac River (Chapel Street crossing), New Haven, US to Footbridge crossing (just US of East Rock Road crossing), Hamden.",0.068,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.068,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,1903430.7755127,31263.3745932702
211,2016,CT-E1_033,"LIS EB Inner - Pequotsepos Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Pequotsepos Cove. From outlet into Mystic Harbor at RR crossing to inlet of Pequotsepos Brook, Stonington.",0.024,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.02385144,N,Not Supporting,I,Insufficient Information,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,664940.036193848,10040.4991020443
