OBJECTID,GEOID,ACRES_TOTAL,PCT_PEOPLE_OF_COLOR,PCT_ENGLISH_LANG_LEARNERS,PCT_FOREIGN_BORN,PCT_POP_UNDER200PCT_POVERTY,PCT_LESS_BACHELOR_DEGREE,PCT_ADULT_NOLEISUREPHYSACTIV,PCT_ADULT_WITH_DIABETES,PCT_ADULT_WITH_OBESITY,PCT_ADULT_MENTALHLTHNOTGOOD,PCT_ADULT_WITH_ASTHMA,LIFE_EXPECTANCY_AT_BIRTH,PCT_ADULT_WITH_DISABILITY,PTL_PEOPLE_OF_COLOR,PTL_ENGLISH_LANG_LEARNERS,PTL_FOREIGN_BORN,PTL_POP_UNDER200PCT_POVERTY,PTL_LESS_BACHELOR_DEGREE,PTL_ADULT_NOLEISUREPHYSACTIV,PTL_ADULT_WITH_DIABETES,PTL_ADULT_WITH_OBESITY,PTL_ADULT_MENTALHLTHNOTGOOD,PTL_ADULT_WITH_ASTHMA,PTL_LOW_LIFE_EXPECT_AT_BIRTH,RACE_ELL_ORIGINS_PERCENTILE,SOCIOECON_DISADV_PERCENTILE,HEALTH_DISADV_PERCENTILE,COMPOSITE_PERCENTILE,RACE_ELL_ORIGINS_QUINTILE,HEALTH_DISADV_QUINTILE,COMPOSITE_QUINTILE,TRACTCE,TRACT,NAME,NAMELSAD,POP_POC,POP_TOTAL_FOR_POC,POP_FOREIGN_BORN,POP_TOTAL_FOR_FOREIGN_BORN,POP_ENGLISH_LANG_LEARNERS,POP_5_YRS_AND_OLDER,POP_LESS_THAN_BACHELOR_DEG,POP_25_YRS_AND_OLDER,POP_UNDER200PCT_POVERTY,POP_POV_STATUS_DETERMINED,POP_ADULT_WITH_DISABILITY,POP_ADULT_CIVILIAN_NONINST,COMPOSITE_SCORE,RACE_ELL_ORIGINS_SCORE,SOCIOECON_DISADV_SCORE,HEALTH_DISADV_SCORE,SOCIOECON_DISADV_QUINTILE,PTL_ADULT_WITH_DISABILITY,SHAPE_Length,SHAPE_Area
151,53033012000,355.09936169,0.2581,0.023,0.06,0.0715,0.4441,0.116,0.06,0.216,0.126,0.093,81.37,0.072699735,0.198,0.244,0.039,0.102,0.784,0.602,0.602,0.738,0.426,0.636,0.745,0.13,0.426,0.67,0.397,Lowest,Second Highest,Second Lowest,12000,12000,120.0,Census Tract 120,919,3560,199,3317,69,2997,1133,2551,237,3317,192,2641,0.408666667,0.16975,0.443,0.572,Middle,0.255,16728.8938804139,15468128.2037495
152,53033000202,365.71068383,0.4133,0.1389,0.2563,0.1696,0.4299,0.129,0.064,0.201,0.122,0.089,82.84,0.102521474,0.579,0.863,0.732,0.568,0.755,0.67,0.63,0.397,0.255,0.187,0.591,0.681,0.704,0.528,0.647,Second Highest,Middle,Second Highest,202,202,2.02,Census Tract 2.02,1694,4099,1153,4499,563,4053,1434,3336,763,4499,370,3609,0.637666667,0.68825,0.6615,0.472714286,Second Highest,0.579,17285.8273694368,15930118.4910612
153,53033000500,951.77456581,0.205,0.0182,0.0867,0.1004,0.2623,0.11,0.071,0.198,0.103,0.087,85.25,0.0864,0.045,0.159,0.102,0.181,0.34,0.477,0.778,0.335,0.0,0.073,0.358,0.039,0.215,0.261,0.09,Lowest,Second Lowest,Lowest,500,500,5.0,Census Tract 5,697,3400,296,3414,57,3138,643,2451,341,3397,216,2500,0.171666667,0.08775,0.2605,0.343,Second Lowest,0.38,27094.5654039036,30294741.0471862
154,53033000601,353.64904919,0.4661,0.1366,0.1875,0.1155,0.4895,0.145,0.068,0.207,0.131,0.092,82.91,0.137843337,0.687,0.852,0.562,0.267,0.829,0.744,0.721,0.562,0.659,0.551,0.574,0.704,0.573,0.767,0.698,Second Highest,Second Highest,Second Highest,601,601,6.01,Census Tract 6.01,1899,4074,886,4726,588,4304,1708,3489,545,4718,542,3932,0.681333333,0.697,0.548,0.658,Middle,0.795,20078.9564759328,15404952.5827192
155,53033000602,595.67281592,0.4793,0.1044,0.1956,0.1248,0.4995,0.145,0.068,0.207,0.131,0.092,82.91,0.166073163,0.715,0.784,0.596,0.318,0.84,0.744,0.721,0.562,0.659,0.551,0.574,0.71,0.607,0.784,0.721,Second Highest,Second Highest,Second Highest,602,602,6.02,Census Tract 6.02,1920,4006,752,3845,371,3553,1419,2841,480,3845,513,3089,0.700333333,0.7025,0.579,0.670142857,Second Highest,0.88,23221.7047501309,25947507.8614797
156,53033001000,235.77299553,0.3892,0.0696,0.1797,0.1807,0.3527,0.13,0.065,0.217,0.129,0.095,82.18,0.098887515,0.534,0.625,0.522,0.619,0.636,0.681,0.653,0.767,0.573,0.71,0.671,0.585,0.653,0.738,0.67,Middle,Second Highest,Second Highest,1000,1000,10.0,Census Tract 10,783,2012,370,2059,137,1967,516,1463,372,2059,160,1618,0.658666667,0.55375,0.6275,0.652285714,Second Highest,0.511,13147.0305998084,10270271.6851636
157,53033001500,418.71616007,0.1851,0.0195,0.0934,0.098,0.3425,0.11,0.066,0.216,0.117,0.092,88.62,0.133640553,0.005,0.21,0.142,0.176,0.596,0.477,0.693,0.738,0.159,0.551,0.035,0.045,0.386,0.556,0.318,Lowest,Middle,Second Lowest,1500,1500,15.0,Census Tract 15,496,2679,261,2795,53,2715,771,2251,274,2795,319,2387,0.329,0.0905,0.386,0.489285714,Second Lowest,0.772,13960.3795463703,12300447.0628885
158,53033002100,337.3920281,0.3432,0.0357,0.1403,0.1105,0.2865,0.105,0.056,0.2,0.118,0.089,82.7,0.071351931,0.443,0.397,0.397,0.221,0.431,0.392,0.517,0.386,0.21,0.187,0.614,0.409,0.306,0.306,0.335,Middle,Second Lowest,Second Lowest,2100,2100,21.0,Census Tract 21,1518,4423,647,4611,152,4252,953,3326,505,4570,266,3728,0.340333333,0.42,0.326,0.361857143,Second Lowest,0.227,16139.9218598102,14696796.7441093
159,53033002500,243.2193365,0.2783,0.0316,0.1414,0.1088,0.1955,0.096,0.052,0.195,0.117,0.09,86.33,0.086831719,0.25,0.346,0.403,0.215,0.164,0.255,0.392,0.278,0.159,0.346,0.205,0.312,0.119,0.187,0.147,Second Lowest,Lowest,Lowest,2500,2500,25.0,Census Tract 25,878,3155,490,3466,107,3385,508,2598,377,3466,242,2787,0.206,0.31225,0.1895,0.290285714,Lowest,0.397,16442.9685869959,10594634.2979623
160,53033002700,391.59961609,0.2594,0.0366,0.154,0.1378,0.1998,0.091,0.045,0.193,0.122,0.089,87.27,0.076694915,0.21,0.414,0.448,0.392,0.176,0.125,0.295,0.227,0.255,0.187,0.103,0.318,0.261,0.079,0.17,Second Lowest,Lowest,Lowest,2700,2700,27.0,Census Tract 27,1524,5876,919,5966,198,5414,860,4305,822,5965,362,4720,0.219333333,0.3205,0.284,0.212428571,Second Lowest,0.295,21942.8352783745,17058079.2768896
161,53033003100,669.48301477,0.191,0.0148,0.1076,0.0429,0.2853,0.098,0.054,0.208,0.118,0.09,85.65,0.099232246,0.011,0.142,0.198,0.011,0.426,0.295,0.448,0.585,0.21,0.346,0.296,0.045,0.159,0.357,0.119,Lowest,Second Lowest,Lowest,3100,3100,31.0,Census Tract 31,1250,6545,739,6866,94,6332,1403,4917,294,6851,517,5210,0.187,0.0905,0.2185,0.386,Lowest,0.522,24704.5678017235,23137464.0456865
162,53033004101,1208.90764907,0.2026,0.0312,0.1301,0.0511,0.0491,0.094,0.056,0.187,0.106,0.086,88.22,0.077597841,0.039,0.335,0.34,0.028,0.0,0.221,0.517,0.107,0.022,0.051,0.069,0.159,0.0,0.045,0.017,Lowest,Lowest,Lowest,4101,4101,41.01,Census Tract 41.01,793,3914,537,4127,120,3852,140,2850,209,4094,230,2964,0.068,0.18825,0.014,0.185571429,Lowest,0.312,24230.1579430563,16716852.6631881
163,53033004500,165.79682939,0.2985,0.0187,0.1258,0.3394,0.1952,0.104,0.04,0.208,0.15,0.1,83.72,0.057249322,0.329,0.164,0.323,0.88,0.159,0.38,0.164,0.585,0.903,0.863,0.529,0.267,0.528,0.607,0.488,Second Lowest,Second Highest,Middle,4500,4500,45.0,Census Tract 45,887,2972,437,3474,62,3321,452,2315,1179,3474,169,2952,0.467333333,0.28625,0.5195,0.508571429,Middle,0.136,11018.3020934985,7222109.88810051
164,53033005305,52.62251185,0.6641,0.0808,0.3766,0.7012,0.3812,0.172,0.033,0.188,0.212,0.121,86.25,0.127290738,0.92,0.704,0.937,0.994,0.681,0.852,0.022,0.13,0.977,0.971,0.233,0.897,0.88,0.664,0.857,Highest Equity Priority,Second Highest,Highest Equity Priority,5305,5305,53.05,Census Tract 53.05,1916,2885,774,2055,166,2055,313,821,1441,2055,257,2019,0.813666667,0.87025,0.8375,0.558857143,Highest Equity Priority/Most Disadvantaged,0.727,6048.60922234,2292236.61627401
165,53033005402,114.62676457,0.2826,0.006,0.1037,0.1118,0.1731,0.08,0.034,0.186,0.126,0.089,82.74,0.052631579,0.255,0.045,0.176,0.227,0.102,0.0,0.039,0.085,0.426,0.187,0.608,0.147,0.09,0.073,0.028,Lowest,Lowest,Lowest,5402,5402,54.02,Census Tract 54.02,922,3262,319,3076,18,3019,436,2519,344,3076,151,2869,0.103333333,0.18275,0.1645,0.203428571,Lowest,0.079,10063.7978469566,4993141.86454603
166,53033005700,1841.18792646,0.2419,0.0248,0.1167,0.1152,0.2373,0.107,0.062,0.205,0.114,0.089,84.61,0.093509568,0.147,0.261,0.272,0.255,0.278,0.443,0.613,0.522,0.107,0.187,0.438,0.187,0.232,0.363,0.238,Lowest,Second Lowest,Second Lowest,5700,5700,57.0,Census Tract 57,1593,6586,770,6597,149,6005,1146,4829,760,6597,474,5069,0.260666667,0.20675,0.2665,0.394857143,Second Lowest,0.454,44506.5655358237,53305584.4256323
167,53033005804,865.84645852,0.3996,0.03,0.1401,0.1401,0.3254,0.106,0.052,0.207,0.128,0.092,82.95,0.098878695,0.539,0.329,0.392,0.414,0.545,0.42,0.392,0.562,0.511,0.551,0.563,0.454,0.471,0.602,0.539,Middle,Second Highest,Middle,5804,5804,58.04,Census Tract 58.04,1196,2993,325,2319,66,2202,653,2007,303,2162,194,1962,0.509,0.44975,0.4795,0.500571429,Middle,0.505,48668.2722430527,25124062.7385761
168,53033006701,120.0125421,0.6064,0.0907,0.4544,0.0545,0.0708,0.083,0.036,0.181,0.122,0.087,87.75,0.054773562,0.857,0.755,0.971,0.039,0.005,0.028,0.062,0.028,0.255,0.073,0.091,0.863,0.005,0.0,0.289,Highest Equity Priority,Lowest,Second Lowest,6701,6701,67.01,Census Tract 67.01,2462,4060,1550,3411,300,3306,218,3081,186,3411,179,3268,0.289333333,0.86,0.022,0.090428571,Lowest,0.096,12683.6211573089,3641070.83586118
169,53033006703,147.54756391,0.2973,0.0,0.1141,0.0927,0.3452,0.083,0.036,0.181,0.122,0.087,87.75,0.092035398,0.318,0.0,0.238,0.164,0.607,0.028,0.062,0.028,0.255,0.073,0.091,0.21,0.375,0.005,0.142,Second Lowest,Lowest,Lowest,6703,6703,67.03,Census Tract 67.03,969,3259,352,3085,0,2942,914,2648,286,3085,260,2825,0.196666667,0.2185,0.3855,0.139142857,Second Lowest,0.437,10846.4930444777,6427171.88376363
170,53033007202,69.33139723,0.5489,0.1135,0.4987,0.0936,0.2088,0.091,0.036,0.182,0.128,0.089,89.08,0.127388535,0.806,0.806,0.988,0.17,0.193,0.125,0.062,0.045,0.511,0.187,0.029,0.852,0.107,0.119,0.352,Highest Equity Priority,Lowest,Second Lowest,7202,7202,72.02,Census Tract 72.02,2277,4148,1735,3479,392,3454,657,3147,313,3343,440,3454,0.359333333,0.8515,0.1815,0.241571429,Lowest,0.732,7591.70188344636,3020075.66320805
171,53033007203,143.22325397,0.639,0.1266,0.3671,0.157,0.247,0.091,0.036,0.182,0.128,0.089,89.08,0.081611208,0.903,0.818,0.92,0.522,0.312,0.125,0.062,0.045,0.511,0.187,0.029,0.92,0.414,0.051,0.477,Highest Equity Priority,Lowest,Middle,7203,7203,72.03,Census Tract 72.03,2186,3421,1072,2920,365,2884,627,2538,454,2891,233,2855,0.461666667,0.886,0.417,0.186428571,Middle,0.346,12493.9648041578,6238804.94298612
172,53033007404,37.98392625,0.3055,0.0246,0.1301,0.153,0.2016,0.081,0.031,0.187,0.129,0.087,85.9,0.107501674,0.363,0.255,0.34,0.5,0.181,0.011,0.011,0.107,0.573,0.073,0.262,0.329,0.323,0.107,0.221,Second Lowest,Lowest,Second Lowest,7404,7404,74.04,Census Tract 74.04,855,2799,397,3052,74,3003,566,2807,467,3052,321,2986,0.253,0.33025,0.3405,0.238142857,Second Lowest,0.63,5775.69998668964,1654579.8275668
173,53033007405,32.57516165,0.4327,0.0801,0.1911,0.2632,0.4318,0.114,0.039,0.22,0.151,0.096,74.91,0.112969005,0.642,0.693,0.573,0.772,0.761,0.568,0.13,0.795,0.92,0.732,1.0,0.647,0.806,0.806,0.801,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,7405,7405,74.05,Census Tract 74.05,1212,2801,498,2606,204,2548,886,2052,686,2606,277,2452,0.753,0.6375,0.7665,0.687,Highest Equity Priority/Most Disadvantaged,0.664,5012.79869002574,1418974.04167527
174,53033007503,46.34100937,0.4244,0.0119,0.1134,0.2624,0.2469,0.093,0.038,0.203,0.134,0.091,86.6,0.101978022,0.613,0.102,0.232,0.761,0.306,0.176,0.107,0.465,0.727,0.437,0.177,0.375,0.551,0.34,0.414,Second Lowest,Second Lowest,Middle,7503,7503,75.03,Census Tract 75.03,1044,2460,258,2275,27,2275,439,1778,597,2275,232,2275,0.422,0.39,0.5335,0.379571429,Middle,0.568,6484.38948226953,2018614.3682232
175,53033008101,135.40747372,0.4163,0.0892,0.2442,0.2694,0.4184,0.145,0.083,0.246,0.129,0.094,78.72,0.176237624,0.585,0.744,0.704,0.784,0.744,0.744,0.852,0.943,0.573,0.681,0.915,0.67,0.795,0.892,0.829,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,8101,8101,81.01,Census Tract 81.01,1169,2808,622,2547,226,2533,998,2385,684,2539,445,2525,0.785666667,0.6545,0.764,0.800714286,Second Highest,0.897,11427.1467556707,2992165.47849521
176,53033010401,402.74152959,0.7678,0.3592,0.476,0.1783,0.5415,0.209,0.105,0.18,0.117,0.082,82.66,0.125595739,0.96,0.982,0.977,0.602,0.892,0.948,0.954,0.022,0.159,0.005,0.625,0.977,0.778,0.562,0.818,Highest Equity Priority,Middle,Highest Equity Priority,10401,10401,104.01,Census Tract 104.01,3466,4514,2144,4504,1520,4232,1749,3230,803,4504,448,3567,0.772333333,0.96975,0.747,0.489714286,Second Highest,0.715,17342.9302013933,17543421.0290612
177,53033011401,304.7146268,0.4986,0.0955,0.1969,0.2492,0.6459,0.153,0.063,0.235,0.149,0.1,80.51,0.157437823,0.75,0.772,0.613,0.732,0.954,0.784,0.619,0.886,0.886,0.863,0.819,0.744,0.886,0.926,0.892,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11401,11401,114.01,Census Tract 114.01,2107,4226,988,5019,466,4882,2433,3767,1230,4936,671,4262,0.852,0.72125,0.843,0.816285714,Highest Equity Priority/Most Disadvantaged,0.857,17478.0591593666,13273369.1432669
178,53033011700,868.76557332,0.8409,0.3062,0.3732,0.2719,0.7645,0.226,0.11,0.21,0.127,0.089,82.67,0.162508136,0.988,0.977,0.931,0.795,0.994,0.977,0.96,0.647,0.465,0.187,0.62,0.982,0.931,0.795,0.931,Highest Equity Priority,Second Highest,Highest Equity Priority,11700,11700,117.0,Census Tract 117,4757,5657,2074,5557,1591,5196,3182,4162,1506,5539,749,4609,0.902666667,0.971,0.8945,0.675,Highest Equity Priority/Most Disadvantaged,0.869,29467.7608415579,37791552.3681476
179,53033011901,415.7202271,0.7934,0.2538,0.3617,0.1159,0.7084,0.192,0.103,0.237,0.132,0.097,81.13,0.129408419,0.982,0.96,0.909,0.272,0.971,0.914,0.943,0.892,0.687,0.755,0.785,0.971,0.647,0.931,0.886,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11901,11901,119.01,Census Tract 119.01,2950,3718,1592,4401,1058,4168,2274,3210,510,4401,455,3516,0.849666667,0.95825,0.6215,0.818,Second Highest,0.75,20474.5547774152,18092456.0955316
180,53033026300,1.20013775,0.7103,0.2243,0.3491,0.305,0.7656,0.18,0.083,0.221,0.131,0.09,78.26,0.225352113,0.937,0.938,0.898,0.841,0.994,0.906,0.852,0.812,0.659,0.346,0.95,0.947,0.961,0.872,0.961,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,26300,26300,263.0,Census Tract 263,1238,1743,562,1610,352,1569,885,1156,491,1610,288,1278,0.926666667,0.9275,0.9175,0.785571429,Highest Equity Priority/Most Disadvantaged,0.974,954.048024444965,30724.6333008621
